epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.4262,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000366593,0.000366593,0.000366593
2,96.6882,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000718687,0.000718687,0.000718687
3,139.97,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.00105245,0.00105245,0.00105245
4,183.555,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.00102851,0.00102851,0.00102851
5,225.953,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.00100101,0.00100101,0.00100101
6,267.754,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000973514,0.000973514,0.000973514
7,309.905,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000946016,0.000946016,0.000946016
8,353.435,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000918519,0.000918519,0.000918519
9,395.07,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000891022,0.000891022,0.000891022
10,436.23,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000863525,0.000863525,0.000863525
11,477.398,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000836027,0.000836027,0.000836027
12,519.755,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.00080853,0.00080853,0.00080853
13,565.105,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000781033,0.000781033,0.000781033
14,610.541,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000753536,0.000753536,0.000753536
15,653.38,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000726038,0.000726038,0.000726038
16,695.572,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000698541,0.000698541,0.000698541
17,737.564,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000671044,0.000671044,0.000671044
18,779.838,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000643547,0.000643547,0.000643547
19,822.848,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000616049,0.000616049,0.000616049
20,866.759,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000588552,0.000588552,0.000588552
21,910.099,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000561055,0.000561055,0.000561055
22,953.698,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000533558,0.000533558,0.000533558
23,995.5,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.00050606,0.00050606,0.00050606
24,1036.17,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000478563,0.000478563,0.000478563
25,1077.03,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000451066,0.000451066,0.000451066
26,1117.8,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000423569,0.000423569,0.000423569
27,1158.79,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000396071,0.000396071,0.000396071
28,1200.17,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000368574,0.000368574,0.000368574
29,1240.93,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000341077,0.000341077,0.000341077
30,1281.89,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.00031358,0.00031358,0.00031358
31,1369.93,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000286083,0.000286083,0.000286083
32,1410.78,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000258585,0.000258585,0.000258585
33,1451.58,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000231088,0.000231088,0.000231088
34,1492.38,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000203591,0.000203591,0.000203591
35,1532.88,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000176094,0.000176094,0.000176094
36,1573.54,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000148596,0.000148596,0.000148596
37,1614.3,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,0.000121099,0.000121099,0.000121099
38,1654.94,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,9.36017e-05,9.36017e-05,9.36017e-05
39,1695.66,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,6.61045e-05,6.61045e-05,6.61045e-05
40,1736.35,nan,nan,nan,0.00533,0.03506,0.01755,0.01527,nan,nan,nan,3.86073e-05,3.86073e-05,3.86073e-05
